# de Alcobas,# de Baños Completos,# de Niveles ,Administración $,Area Terraza en M2,Año de construcción,Cantidad de Parqueaderos,Estrato,Latitud,Longitud,M2 Area Construida,Piso #,Precio,Predial $,AnoDeExtraccion,MesDeExtraccion
3.0,2.0,1.0,,0.0,1987.0,1.0,4.0,4.6477597,-74.05839550000002,47.0,2.0,300000000.0,1381000.0,2020,5
1.0,1.0,1.0,,0.0,2015.0,1.0,6.0,10.982594,-74.805565,44.0,5.0,235000000.0,,2020,5
3.0,2.0,1.0,160000.0,0.0,2015.0,1.0,4.0,4.6650192000000015,-74.13786089999995,66.0,12.0,290000000.0,791000.0,2020,5
1.0,1.0,1.0,,0.0,2010.0,1.0,6.0,10.982594,-74.805565,33.0,4.0,135000000.0,,2020,5
3.0,2.0,1.0,,0.0,2007.0,1.0,4.0,10.982594,-74.805565,100.0,,269500000.0,,2020,5
3.0,2.0,1.0,450000.0,0.0,2018.0,1.0,5.0,10.982594,-74.805565,104.0,,375000000.0,,2020,5
3.0,4.0,1.0,642000.0,0.0,2005.0,2.0,5.0,4.731714599999999,-74.07265849999997,152.72,9.0,828000000.0,3528000.0,2020,5
3.0,2.0,1.0,207000.0,0.0,2004.0,1.0,3.0,4.710989,-74.072092,76.0,2.0,300000000.0,814000.0,2020,5
3.0,1.0,1.0,74400.0,0.0,2017.0,0.0,2.0,4.595573,-74.17252300000001,47.0,16.0,138000000.0,57000.0,2020,5
3.0,1.0,1.0,74400.0,0.0,2017.0,0.0,2.0,4.59606,-74.16408719999998,47.0,15.0,138000000.0,57000.0,2020,5
2.0,2.0,1.0,270000.0,0.0,2016.0,1.0,4.0,4.636915599999999,-74.07504189999997,64.0,2.0,340000000.0,1365000.0,2020,5
2.0,2.0,1.0,280000.0,0.0,2010.0,1.0,4.0,4.7281414,-74.04323590000001,68.0,6.0,330000000.0,1222000.0,2020,5
3.0,2.0,1.0,273000.0,0.0,1989.0,1.0,4.0,4.6807869,-74.07982950000002,73.0,5.0,320000000.0,1455000.0,2020,5
2.0,3.0,1.0,350000.0,0.0,1986.0,1.0,4.0,4.63712744330377,-74.07869549868303,86.0,4.0,400000000.0,1547000.0,2020,5
3.0,3.0,1.0,494000.0,0.0,2011.0,2.0,5.0,4.7207211302392995,-74.04239853862305,99.14,4.0,468000000.0,3043000.0,2020,5
