Administracion,Area,Banos,Barrio,Ciudad,Estrato,ExtractionDate,Habitaciones,Latitud,Longitud,Parqueaderos,Precio,ScreenshotPath,SitioWeb
,50.0,2.0,machado,Bello,4.0,2022-09-17,2.0,6.251249313354492,-75.57598876953125,1.0,190000000.0,Images/fincaraiz_5804229.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/machado/bello/5804229
500000.0,195.0,5.0,LAS BRUJAS,Envigado,6.0,2022-09-17,3.0,6.166326522827148,-75.58284759521484,3.0,920000000.0,Images/fincaraiz_5815697.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/las-brujas/envigado/5815697
257000.0,69.0,2.0,SURAMERICA,Itaguí,4.0,2022-09-17,3.0,6.251249313354492,-75.57598876953125,1.0,330000000.0,Images/fincaraiz_5820117.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/suramerica/itagui/5820117
253000.0,98.0,2.0,los bernal,Medellín,4.0,2022-09-17,3.0,6.217198371887207,-75.60527801513672,1.0,400000000.0,Images/fincaraiz_5822855.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/los-bernal/medellin/5822855
690000.0,199.0,5.0,El Campestre,Medellín,6.0,2022-09-17,3.0,6.189459323883057,-75.56719970703125,2.0,1230000000.0,Images/fincaraiz_5826306.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/el-campestre/medellin/5826306
,99.0,2.0,LOS BERNAL,Medellín,5.0,2022-09-17,3.0,6.21886682510376,-75.60221099853516,1.0,425000000.0,Images/fincaraiz_5828421.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/los-bernal/medellin/5828421
1336000.0,272.0,4.0,Poblado El Tesoro,Medellín,6.0,2022-09-17,3.0,6.203373432159424,-75.55935668945312,3.0,1540000000.0,Images/fincaraiz_5838656.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/poblado-el-tesoro/medellin/5838656
200000.0,63.0,2.0,suramerica,La Estrella,2.0,2022-09-17,3.0,6.157111167907715,-75.60442352294922,1.0,310000000.0,Images/fincaraiz_5859064.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/suramerica/la-estrella/5859064
270000.0,72.0,2.0,Señorial,Envigado,4.0,2022-10-30,2.0,6.1559367179870605,-75.60031127929688,1.0,310000000.0,Images/fincaraiz_5870834.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/senorial/envigado/5870834
260000.0,83.0,2.0,Los bernal,Medellín,5.0,2022-09-17,2.0,6.217198371887207,-75.60527801513672,1.0,410000000.0,Images/fincaraiz_5875751.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/los-bernal/medellin/5875751
103000.0,70.0,2.0,salvatorianos,La Estrella,3.0,2022-09-17,3.0,6.16035270690918,-75.64554595947266,1.0,260000000.0,Images/fincaraiz_5888950.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/salvatorianos/la-estrella/5888950
880140.0,260.0,4.0,El Poblado,Medellín,6.0,2022-09-17,4.0,6.203413486480713,-75.56735229492188,3.0,960000000.0,Images/fincaraiz_5890411.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/el-poblado/medellin/5890411
400000.0,72.0,2.0,El Campestre,Medellín,6.0,2022-09-17,2.0,6.188807964324951,-75.57721710205078,1.0,567000000.0,Images/fincaraiz_5891038.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/el-campestre/medellin/5891038
211000.0,52.0,2.0,aves maria,Sabaneta,4.0,2022-09-17,2.0,6.157111167907715,-75.60442352294922,1.0,295000000.0,Images/fincaraiz_5896095.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/aves-maria/sabaneta/5896095
50000.0,1100.0,6.0,La Castellana,Medellín,4.0,2022-09-17,6.0,6.234068393707275,-75.60675811767578,8.0,3300000000.0,Images/fincaraiz_5897182.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/la-castellana/medellin/5897182
300000.0,171.0,4.0,Laureles,Medellín,5.0,2022-09-17,4.0,6.240650177001953,-75.5993423461914,2.0,560000000.0,Images/fincaraiz_5904441.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/laureles/medellin/5904441
,48.0,1.0,La Floresta,Medellín,3.0,2022-09-17,3.0,6.253189086914063,-75.60413360595703,0.0,200000000.0,Images/fincaraiz_5924051.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/la-floresta/medellin/5924051
,46.0,1.0,Robledo,Medellín,2.0,2022-09-17,2.0,6.278417110443115,-75.59587860107422,0.0,105000000.0,Images/fincaraiz_5927903.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/robledo/medellin/5927903
,142.0,2.0,EL DORADO,Envigado,3.0,2022-09-17,3.0,6.164380073547363,-75.589111328125,1.0,550000000.0,Images/fincaraiz_5927955.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/el-dorado/envigado/5927955
,56.0,2.0,Conquistadores,Medellín,4.0,2022-09-17,1.0,6.239542484283447,-75.58444213867188,0.0,190000000.0,Images/fincaraiz_5929043.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/conquistadores/medellin/5929043
551200.0,170.0,4.0,El Poblado,Medellín,4.0,2022-09-17,3.0,6.224970817565918,-75.56098937988281,2.0,600000000.0,Images/fincaraiz_5940114.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/el-poblado/medellin/5940114
,92.0,2.0,EL VELODROMO,Medellín,5.0,2022-09-17,3.0,6.251345634460449,-75.59434509277344,1.0,520000000.0,Images/fincaraiz_5952693.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/el-velodromo/medellin/5952693
465300.0,143.0,3.0,POBLADO,Medellín,6.0,2022-09-17,2.0,6.1947922706604,-75.55757904052734,2.0,850000000.0,Images/fincaraiz_5956338.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/poblado/medellin/5956338
,104.0,2.0,San Benito,Medellín,3.0,2022-09-17,3.0,6.254700183868408,-75.5726089477539,0.0,260000000.0,Images/fincaraiz_5973156.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/san-benito/medellin/5973156
,54.0,2.0,MACHADO,Bello,3.0,2022-11-12,3.0,6.345680236816406,-75.52458190917969,0.0,205000000.0,Images/fincaraiz_5981046.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/machado/bello/5981046
85000.0,40.0,1.0,SAN MARTÍN,Bello,3.0,2022-09-17,2.0,6.353625774383545,-75.56725311279297,1.0,115000000.0,Images/fincaraiz_6005316.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/san-martin/bello/6005316
44100.0,65.0,2.0,Tricentenario,Medellín,3.0,2022-09-17,3.0,6.292036056518555,-75.54340362548828,0.0,170000000.0,Images/fincaraiz_6017322.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/tricentenario/medellin/6017322
,44.0,1.0,NorOccidente,Medellín,3.0,2022-09-17,2.0,6.279306888580322,-75.633056640625,1.0,120000000.0,Images/fincaraiz_6020213.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/noroccidente/medellin/6020213
,155.0,2.0,El Poblado,Medellín,6.0,2022-09-17,3.0,6.247637748718262,-75.5658187866211,2.0,635000000.0,Images/fincaraiz_6020760.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/el-poblado/medellin/6020760
