Administracion,Area,Banos,Barrio,Ciudad,ExtractionDate,Habitaciones,Latitud,Longitud,Parqueaderos,Precio,ScreenshotPath,SitioWeb
339000.0,115.0,3.0,Laureles,Medellín,2022-08-28,3.0,6.256602,-75.575637,1.0,530000000.0,Images/222128.jpeg,https://www.redinmobiliariamls.com/medellin/laureles/1/222128
,89.0,2.0,Florida Nueva,Medellín,2022-08-28,4.0,6.250297,-75.587857,0.0,290000000.0,Images/222138.jpeg,https://www.redinmobiliariamls.com/medellin/florida-nueva/1/222138
220000.0,68.61,2.0,Navarra,Bello,2022-08-09,2.0,6.345389,-75.53356,1.0,250000000.0,Images/222150.jpeg,https://www.redinmobiliariamls.com/bello/navarra/1/222150
323561.0,94.87,2.0,La Aldea,La Estrella,2022-08-28,3.0,6.256602,-75.575637,1.0,379850000.0,Images/222174.jpeg,https://www.redinmobiliariamls.com/la-estrella/la-aldea/1/222174
173100.0,64.35,2.0,Loma Linda,Itagüí,2022-08-28,2.0,6.256602,-75.575637,1.0,300000000.0,Images/222203.jpeg,https://www.redinmobiliariamls.com/itagi/loma-linda/1/222203
262000.0,163.59,3.0,Laureles,Medellín,2022-08-28,3.0,6.256602,-75.575637,2.0,570000000.0,Images/222236.jpeg,https://www.redinmobiliariamls.com/medellin/laureles/1/222236
,64.0,2.0,Niquia,Bello,2022-08-28,2.0,6.338983,-75.550526,1.0,230000000.0,Images/222309.jpeg,https://www.redinmobiliariamls.com/bello/niquia/1/222309
170000.0,69.64,2.0,Robledo,Medellín,2022-08-28,3.0,6.256602,-75.575637,0.0,230000000.0,Images/222379.jpeg,https://www.redinmobiliariamls.com/medellin/robledo/1/222379
557300.0,159.0,3.0,Loma de San Julian,Medellín,2022-08-28,3.0,6.224615,-75.56809,2.0,695000000.0,Images/222526.jpeg,https://www.redinmobiliariamls.com/medellin/loma-de-san-julian/1/222526
791000.0,128.0,2.0,El Poblado,Medellín,2022-08-28,2.0,6.256602,-75.575637,2.0,520000000.0,Images/222559.jpeg,https://www.redinmobiliariamls.com/medellin/el-poblado/1/222559
770000.0,188.0,3.0,Santa Maria de los Angeles,Medellín,2022-08-28,3.0,6.256602,-75.575637,2.0,680000000.0,Images/222625.jpeg,https://www.redinmobiliariamls.com/medellin/santa-maria-de-los-angeles/1/222625
936000.0,420.0,4.0,El Tesoro,Medellín,2022-08-28,4.0,6.256602,-75.575637,3.0,1795000000.0,Images/222629.jpeg,https://www.redinmobiliariamls.com/medellin/el-tesoro/1/222629
300000.0,160.0,2.0,Aves Marías,Sabaneta,2022-08-28,3.0,6.256602,-75.575637,2.0,698000000.0,Images/222636.jpeg,https://www.redinmobiliariamls.com/sabaneta/aves-marias/1/222636
342000.0,186.0,3.0,Las Palmas,Medellín,2022-08-28,3.0,6.217137,-75.56187,2.0,580000000.0,Images/222639.jpeg,https://www.redinmobiliariamls.com/medellin/las-palmas/1/222639
1001000.0,223.06,3.0,Las Santas,Medellín,2022-08-28,3.0,6.205174,-75.559544,2.0,950000000.0,Images/222661.jpeg,https://www.redinmobiliariamls.com/medellin/las-santas/1/222661
200000.0,86.2,2.0,Calasanz,Medellín,2022-08-28,2.0,6.269366,-75.606117,1.0,420000000.0,Images/222814.jpeg,https://www.redinmobiliariamls.com/medellin/calasanz/1/222814
172100.0,65.22,2.0,Niquia,Bello,2022-08-28,2.0,6.336838,-75.543515,1.0,270000000.0,Images/222839.jpeg,https://www.redinmobiliariamls.com/bello/niquia/1/222839
350000.0,128.0,2.0,Laureles,Medellín,2022-08-28,4.0,6.241179,-75.598247,1.0,650000000.0,Images/222855.jpeg,https://www.redinmobiliariamls.com/medellin/laureles/1/222855
184000.0,60.0,1.0,V. El Tambo,La Ceja,2022-08-28,1.0,6.032764,-75.437659,1.0,235000000.0,Images/222862.jpeg,https://www.redinmobiliariamls.com/la-ceja/v-el-tambo/1/222862
1458000.0,453.0,5.0,El Campestre,Medellín,2022-08-28,4.0,6.256602,-75.575637,3.0,970000000.0,Images/222881.jpeg,https://www.redinmobiliariamls.com/medellin/el-campestre/1/222881
835174.0,278.0,4.0,La Florida,Medellín,2022-08-28,4.0,6.256602,-75.575637,3.0,980000000.0,Images/222893.jpeg,https://www.redinmobiliariamls.com/medellin/la-florida/1/222893
750000.0,144.92,5.0,Bolivariana,Medellín,2022-08-28,4.0,6.244135,-75.5921,2.0,998000000.0,Images/222931.jpeg,https://www.redinmobiliariamls.com/medellin/bolivariana/1/222931
,102.0,2.0,El Dorado,Envigado,2022-08-28,3.0,6.167925,-75.588159,1.0,700000000.0,Images/222984.jpeg,https://www.redinmobiliariamls.com/envigado/el-dorado/1/222984
,104.12,2.0,Prado,Medellín,2022-08-28,4.0,6.254196,-75.559511,0.0,250000000.0,Images/222987.jpeg,https://www.redinmobiliariamls.com/medellin/prado/1/222987
836000.0,278.0,3.0,La Florida,Medellín,2022-08-28,4.0,6.206791,-75.568776,3.0,970000000.0,Images/223077.jpeg,https://www.redinmobiliariamls.com/medellin/la-florida/1/223077
1560000.0,247.64,4.0,Las Lomas Nº 2,Medellín,2022-08-28,4.0,6.256602,-75.575637,2.0,900000000.0,Images/223100.jpeg,https://www.redinmobiliariamls.com/medellin/las-lomas-n-2/1/223100
100000.0,300.0,5.0,La Inmaculada,Envigado,2022-08-28,5.0,6.169415,-75.575188,3.0,870000000.0,Images/223103.jpeg,https://www.redinmobiliariamls.com/envigado/la-inmaculada/1/223103
275000.0,98.5,2.0,Vegas de San José,Sabaneta,2022-08-28,3.0,6.256602,-75.575637,1.0,505000000.0,Images/223145.jpeg,https://www.redinmobiliariamls.com/sabaneta/vegas-de-san-jose/1/223145
,78.15,2.0,Altos del Poblado,Medellín,2022-08-28,2.0,6.215575,-75.555971,1.0,590000000.0,Images/223214.jpeg,https://www.redinmobiliariamls.com/medellin/altos-del-poblado/1/223214
756000.0,177.5,2.0,Manila,Medellín,2022-08-28,3.0,6.256602,-75.575637,1.0,570000000.0,Images/223218.jpeg,https://www.redinmobiliariamls.com/medellin/manila/1/223218
459000.0,139.0,3.0,Zuñiga,Envigado,2022-08-09,3.0,6.256602,-75.575637,2.0,680000000.0,Images/223278.jpeg,https://www.redinmobiliariamls.com/envigado/zuniga/1/223278
50000.0,40.2,1.0,Vergel,San Antonio de Prado,2022-08-28,2.0,6.256602,-75.575637,1.0,130000000.0,Images/223350.jpeg,https://www.redinmobiliariamls.com/san-antonio-de-prado/vergel/1/223350
1100000.0,268.0,4.0,El Campestre,Medellín,2022-08-28,4.0,6.256602,-75.575637,3.0,995000000.0,Images/223355.jpeg,https://www.redinmobiliariamls.com/medellin/el-campestre/1/223355
